# ModuleActionPlatformSupport.generated.tsv
# Generated from ClosedSource/DSX/Modules/**/dsx.json `actions[].platforms` by prepare_modules_android.rb.
# Support facts only: this file does not load or promise any package implementation.
# scheme.action<TAB>comma-separated concrete implementation platforms
intelligence.models.add	ios,android
intelligence.models.added	ios,android
intelligence.models.best	ios,android
intelligence.remove	ios,android
intelligence.score	ios,android
intelligence.speakerembed	ios,android
intelligence.tokenize	ios,android
intelligence.vad	ios,android
intelligence.voice.synthesize	ios,android
keyboard.clear	ios,android
keyboard.layout	ios,android
keyboard.opensettings	ios,android
keyboard.status	ios,android
keyboard.update	ios,android
legacy.dispatch	ios,android,macos
legacy.map	ios,android,macos
light.read	android,web
light.start	android,web
liveactivity.end	ios
liveactivity.layout	ios
liveactivity.start	ios
liveactivity.update	ios
localcdn.list	ios,android,macos
localcdn.localstoragesync	ios,android,macos
localcdn.remove	ios,android,macos
localcdn.restorecookies	ios,android,macos
localcdn.stats	ios,android,macos
localcdn.upload	ios,android,macos
localcdn.url	ios,android,macos
localpush.cronjob	ios,android
localpush.skip	ios,android
map.camera	ios,android
menubar.close	ios,android
menubar.hide	ios,android
menubar.open	ios,android
menubar.show	ios,android
menubar.sidebar	ios,android
metaads.bidder_token	ios,android
metaads.interstitial	ios,android
metadata.storelocation	ios,android
motion.activity	ios,android
motion.barometer	ios,android
motion.pedometer	ios,android
navbartextcolor.text	ios,android
navbartextcolor.transparent	ios,android
nearby.capabilities	ios,android
nearby.connect	ios,android
nearby.disconnect	ios,android
nearby.send	ios,android
nearby.start	ios,android
nearby.stop	ios,android
net.carrier	ios,android
notify.badge.get	ios,web
notify.badge.set	ios,web
notify.channels.list	android
notify.channels.remove	android
notify.channels.set	android
passkeys.cancel	ios,web,macos
pushrouting.silent	ios,android
quickactions.clear	ios,android
quickactions.get	ios,android
quickactions.set	ios,android
rag.detectlanguage	ios,android
rag.diarize	ios,android
rag.embed	ios,android
rag.models.add	ios,android
rag.models.added	ios,android
rag.models.best	ios,android
rag.remove	ios,android
rag.score	ios,android
rag.speakerembed	ios,android
rag.tokenize	ios,android
rag.vad	ios,android
readcontacts.add	ios,android
readcontacts.get	ios,android
readcontacts.groups	ios,android
readcontacts.list	ios,android
readcontacts.read	ios,android
readcontacts.remove	ios,android
readcontacts.update	ios,android
readhealthkit.observe	ios,android
readhealthkit.unobserve	ios,android
readhealthkit.workouts	ios,android
registerpush.silent	ios,android
remotehosts.status	ios,android,macos
requestcontactpermission.add	ios,android
requestcontactpermission.get	ios,android
requestcontactpermission.groups	ios,android
requestcontactpermission.list	ios,android
requestcontactpermission.read	ios,android
requestcontactpermission.remove	ios,android
requestcontactpermission.update	ios,android
revenuecat.attributes	ios,android
revenuecat.buy	ios,android
revenuecat.catalog	ios,android
revenuecat.center	ios,android
revenuecat.currencies	ios,android
revenuecat.customer	ios,android
revenuecat.eligibility	ios
revenuecat.entitlements	ios,android
revenuecat.history	ios,android
revenuecat.launchpaywall	ios,android
revenuecat.login	ios,android
revenuecat.logout	ios,android
revenuecat.offering	ios,android
revenuecat.offerings	ios,android
revenuecat.paywall	ios,android
revenuecat.placement	ios,android
revenuecat.products	ios,android
revenuecat.purchase	ios,android
revenuecat.redeem	ios
revenuecat.sync	ios,android
revenuecat.whoami	ios,android
scanningmode.auto	ios,android
scanningmode.disable	ios,android
scanningmode.enable	ios,android
scanningmode.get	ios,android
scanningmode.set	ios,android
scene3d.camera	ios
scene3d.clear	ios
scene3d.close	ios
scene3d.open	ios
scene3d.pause	ios
scene3d.play	ios
scene3d.raycast	ios
scene3d.reset	ios
scene3d.resume	ios
scene3d.snapshot	ios
scene3d.status	ios
scene3d.toggle	ios
scene3d.undo	ios
screenradius.get	ios,android
search.clear	ios,android,macos
search.index	ios,android,macos
search.remove	ios,android,macos
sendlocalpushmsg.cronjob	ios,android
sendlocalpushmsg.skip	ios,android
settings.battery	ios,android
settings.bluetooth	ios,android
settings.defaults	ios,android
settings.locale	ios,android
settings.location	ios,android
settings.notifications	ios,android
